date,destination_id,destination,domestic_visitors,international_visitors,visitors,log1p_visitors,split,is_zero_day,data_quality_flag
2023-04-05,7,Lăng vua Minh Mạng,117,229,346,5.8493247799,train,False,observed_complete
2023-04-06,7,Lăng vua Minh Mạng,131,312,443,6.0958245624,train,False,observed_complete
2023-04-07,7,Lăng vua Minh Mạng,427,382,809,6.6970342477,train,False,observed_complete
2023-04-08,7,Lăng vua Minh Mạng,414,356,770,6.6476883736,train,False,observed_complete
2023-04-09,7,Lăng vua Minh Mạng,457,331,788,6.6707663208,train,False,observed_complete
2023-04-10,7,Lăng vua Minh Mạng,214,362,576,6.3578422665,train,False,observed_complete
2023-04-11,7,Lăng vua Minh Mạng,257,186,443,6.0958245624,train,False,observed_complete
2023-04-12,7,Lăng vua Minh Mạng,179,308,487,6.1903154059,train,False,observed_complete
2023-04-13,7,Lăng vua Minh Mạng,170,254,424,6.0520891689,train,False,observed_complete
2023-04-14,7,Lăng vua Minh Mạng,293,223,516,6.2480428745,train,False,observed_complete
2023-04-15,7,Lăng vua Minh Mạng,391,237,628,6.4441312567,train,False,observed_complete
2023-04-16,7,Lăng vua Minh Mạng,359,199,558,6.3261494732,train,False,observed_complete
2023-04-17,7,Lăng vua Minh Mạng,549,226,775,6.6541525202,train,False,observed_complete
2023-04-18,7,Lăng vua Minh Mạng,134,222,356,5.8777357818,train,False,observed_complete
2023-04-19,7,Lăng vua Minh Mạng,147,248,395,5.9814142113,train,False,observed_complete
2023-04-20,7,Lăng vua Minh Mạng,112,228,340,5.8318824773,train,False,observed_complete
2023-04-21,7,Lăng vua Minh Mạng,168,247,415,6.0306852603,train,False,observed_complete
2023-04-22,7,Lăng vua Minh Mạng,289,257,546,6.3044488024,train,False,observed_complete
2023-04-23,7,Lăng vua Minh Mạng,317,176,493,6.2025355172,train,False,observed_complete
2023-04-24,7,Lăng vua Minh Mạng,126,208,334,5.8141305318,train,False,observed_complete
2023-04-25,7,Lăng vua Minh Mạng,106,234,340,5.8318824773,train,False,observed_complete
2023-04-26,7,Lăng vua Minh Mạng,139,233,372,5.9215784196,train,False,observed_complete
2023-04-27,7,Lăng vua Minh Mạng,152,296,448,6.1070228877,train,False,observed_complete
2023-04-28,7,Lăng vua Minh Mạng,223,231,454,6.1202974190,train,False,observed_complete
2023-04-29,7,Lăng vua Minh Mạng,866,164,1030,6.9382844840,train,False,observed_complete
2023-04-30,7,Lăng vua Minh Mạng,1177,199,1376,7.2276624987,train,False,observed_complete
2023-05-01,7,Lăng vua Minh Mạng,1985,414,2399,7.7832240163,train,False,observed_complete
2023-05-02,7,Lăng vua Minh Mạng,1046,203,1249,7.1308988303,train,False,observed_complete
2023-05-03,7,Lăng vua Minh Mạng,406,174,580,6.3647507569,train,False,observed_complete
2023-05-04,7,Lăng vua Minh Mạng,173,151,324,5.7838251823,train,False,observed_complete
2023-05-05,7,Lăng vua Minh Mạng,220,174,394,5.9788857649,train,False,observed_complete
2023-05-06,7,Lăng vua Minh Mạng,202,138,340,5.8318824773,train,False,observed_complete
2023-05-07,7,Lăng vua Minh Mạng,160,107,267,5.5909869805,train,False,observed_complete
2023-05-08,7,Lăng vua Minh Mạng,94,239,333,5.8111409930,train,False,observed_complete
2023-05-09,7,Lăng vua Minh Mạng,192,203,395,5.9814142113,train,False,observed_complete
2023-05-10,7,Lăng vua Minh Mạng,112,194,306,5.7268477476,train,False,observed_complete
2023-05-11,7,Lăng vua Minh Mạng,127,138,265,5.5834963088,train,False,observed_complete
2023-05-12,7,Lăng vua Minh Mạng,111,179,290,5.6733232672,train,False,observed_complete
2023-05-13,7,Lăng vua Minh Mạng,216,143,359,5.8861040315,train,False,observed_complete
2023-05-14,7,Lăng vua Minh Mạng,230,186,416,6.0330862218,train,False,observed_complete
2023-05-15,7,Lăng vua Minh Mạng,298,180,478,6.1717005974,train,False,observed_complete
2023-05-16,7,Lăng vua Minh Mạng,119,93,212,5.3612921657,train,False,observed_complete
2023-05-17,7,Lăng vua Minh Mạng,113,87,200,5.3033049081,train,False,observed_complete
2023-05-18,7,Lăng vua Minh Mạng,197,161,358,5.8833223885,train,False,observed_complete
2023-05-19,7,Lăng vua Minh Mạng,233,126,359,5.8861040315,train,False,observed_complete
2023-05-20,7,Lăng vua Minh Mạng,263,135,398,5.9889614169,train,False,observed_complete
2023-05-21,7,Lăng vua Minh Mạng,363,123,486,6.1882641231,train,False,observed_complete
2023-05-22,7,Lăng vua Minh Mạng,283,123,406,6.0088131854,train,False,observed_complete
2023-05-23,7,Lăng vua Minh Mạng,212,112,324,5.7838251823,train,False,observed_complete
2023-05-24,7,Lăng vua Minh Mạng,178,93,271,5.6058020663,train,False,observed_complete
2023-05-25,7,Lăng vua Minh Mạng,145,160,305,5.7235851020,train,False,observed_complete
2023-05-26,7,Lăng vua Minh Mạng,306,88,394,5.9788857649,train,False,observed_complete
2023-05-27,7,Lăng vua Minh Mạng,386,117,503,6.2225762681,train,False,observed_complete
2023-05-28,7,Lăng vua Minh Mạng,415,45,460,6.1333980430,train,False,observed_complete
2023-05-29,7,Lăng vua Minh Mạng,294,63,357,5.8805329864,train,False,observed_complete
2023-05-30,7,Lăng vua Minh Mạng,299,103,402,5.9989365619,train,False,observed_complete
2023-05-31,7,Lăng vua Minh Mạng,277,75,352,5.8664680569,train,False,observed_complete
2023-06-01,7,Lăng vua Minh Mạng,288,91,379,5.9401712527,train,False,observed_complete
2023-06-02,7,Lăng vua Minh Mạng,241,66,307,5.7300997830,train,False,observed_complete
2023-06-03,7,Lăng vua Minh Mạng,387,77,464,6.1420374056,train,False,observed_complete
2023-06-04,7,Lăng vua Minh Mạng,446,49,495,6.2065759267,train,False,observed_complete
2023-06-05,7,Lăng vua Minh Mạng,165,44,209,5.3471075307,train,False,observed_complete
2023-06-06,7,Lăng vua Minh Mạng,481,67,548,6.3080984415,train,False,observed_complete
2023-06-07,7,Lăng vua Minh Mạng,221,52,273,5.6131281064,train,False,observed_complete
2023-06-08,7,Lăng vua Minh Mạng,437,56,493,6.2025355172,train,False,observed_complete
2023-06-09,7,Lăng vua Minh Mạng,363,81,444,6.0980742822,train,False,observed_complete
2023-06-10,7,Lăng vua Minh Mạng,577,65,642,6.4661447242,train,False,observed_complete
2023-06-11,7,Lăng vua Minh Mạng,551,61,612,6.4183649359,train,False,observed_complete
2023-06-12,7,Lăng vua Minh Mạng,311,87,398,5.9889614169,train,False,observed_complete
2023-06-13,7,Lăng vua Minh Mạng,336,57,393,5.9763509093,train,False,observed_complete
2023-06-14,7,Lăng vua Minh Mạng,371,89,460,6.1333980430,train,False,observed_complete
2023-06-15,7,Lăng vua Minh Mạng,448,68,516,6.2480428745,train,False,observed_complete
2023-06-16,7,Lăng vua Minh Mạng,305,36,341,5.8348107371,train,False,observed_complete
2023-06-17,7,Lăng vua Minh Mạng,557,99,656,6.4876840185,train,False,observed_complete
2023-06-18,7,Lăng vua Minh Mạng,406,89,495,6.2065759267,train,False,observed_complete
2023-06-19,7,Lăng vua Minh Mạng,347,98,445,6.1003189520,train,False,observed_complete
2023-06-20,7,Lăng vua Minh Mạng,372,49,421,6.0450053140,train,False,observed_complete
2023-06-21,7,Lăng vua Minh Mạng,221,66,287,5.6629604801,train,False,observed_complete
2023-06-22,7,Lăng vua Minh Mạng,354,51,405,6.0063531596,train,False,observed_complete
2023-06-23,7,Lăng vua Minh Mạng,400,66,466,6.1463292577,train,False,observed_complete
2023-06-24,7,Lăng vua Minh Mạng,454,65,519,6.2538288116,train,False,observed_complete
2023-06-25,7,Lăng vua Minh Mạng,447,88,535,6.2841341611,train,False,observed_complete
2023-06-26,7,Lăng vua Minh Mạng,515,50,565,6.3385940782,train,False,observed_complete
2023-06-27,7,Lăng vua Minh Mạng,334,98,432,6.0707377280,train,False,observed_complete
2023-06-28,7,Lăng vua Minh Mạng,283,99,382,5.9480349892,train,False,observed_complete
2023-06-29,7,Lăng vua Minh Mạng,401,106,507,6.2304814476,train,False,observed_complete
2023-06-30,7,Lăng vua Minh Mạng,353,58,411,6.0210233493,train,False,observed_complete
2023-07-01,7,Lăng vua Minh Mạng,484,61,545,6.3026189757,train,False,observed_complete
2023-07-02,7,Lăng vua Minh Mạng,479,111,590,6.3818160174,train,False,observed_complete
2023-07-03,7,Lăng vua Minh Mạng,425,153,578,6.3613024776,train,False,observed_complete
2023-07-04,7,Lăng vua Minh Mạng,507,88,595,6.3902406671,train,False,observed_complete
2023-07-05,7,Lăng vua Minh Mạng,431,95,526,6.2672005485,train,False,observed_complete
2023-07-06,7,Lăng vua Minh Mạng,566,97,663,6.4982821495,train,False,observed_complete
2023-07-07,7,Lăng vua Minh Mạng,607,120,727,6.5903010482,train,False,observed_complete
2023-07-08,7,Lăng vua Minh Mạng,513,65,578,6.3613024776,train,False,observed_complete
2023-07-09,7,Lăng vua Minh Mạng,536,121,657,6.4892049313,train,False,observed_complete
2023-07-10,7,Lăng vua Minh Mạng,532,220,752,6.6240652278,train,False,observed_complete
2023-07-11,7,Lăng vua Minh Mạng,508,91,599,6.3969296552,train,False,observed_complete
2023-07-12,7,Lăng vua Minh Mạng,552,107,659,6.4922398350,train,False,observed_complete
2023-07-13,7,Lăng vua Minh Mạng,463,138,601,6.4002574453,train,False,observed_complete
2023-07-14,7,Lăng vua Minh Mạng,491,183,674,6.5147126909,train,False,observed_complete
2023-07-15,7,Lăng vua Minh Mạng,737,124,861,6.7592552707,train,False,observed_complete
2023-07-16,7,Lăng vua Minh Mạng,596,92,688,6.5352412710,train,False,observed_complete
2023-07-17,7,Lăng vua Minh Mạng,425,149,574,6.3543700408,train,False,observed_complete
2023-07-18,7,Lăng vua Minh Mạng,422,148,570,6.3473892097,train,False,observed_complete
2023-07-19,7,Lăng vua Minh Mạng,314,109,423,6.0497334552,train,False,observed_complete
2023-07-20,7,Lăng vua Minh Mạng,462,137,599,6.3969296552,train,False,observed_complete
2023-07-21,7,Lăng vua Minh Mạng,505,184,689,6.5366915976,train,False,observed_complete
2023-07-22,7,Lăng vua Minh Mạng,507,193,700,6.5525078870,train,False,observed_complete
2023-07-23,7,Lăng vua Minh Mạng,590,150,740,6.6080006253,train,False,observed_complete
2023-07-24,7,Lăng vua Minh Mạng,372,192,564,6.3368257311,train,False,observed_complete
2023-07-25,7,Lăng vua Minh Mạng,414,124,538,6.2897155709,train,False,observed_complete
2023-07-26,7,Lăng vua Minh Mạng,381,195,576,6.3578422665,train,False,observed_complete
2023-07-27,7,Lăng vua Minh Mạng,347,155,502,6.2205901701,train,False,observed_complete
2023-07-28,7,Lăng vua Minh Mạng,320,231,551,6.3135480463,train,False,observed_complete
2023-07-29,7,Lăng vua Minh Mạng,549,127,676,6.5176712729,train,False,observed_complete
2023-07-30,7,Lăng vua Minh Mạng,478,182,660,6.4937538399,train,False,observed_complete
2023-07-31,7,Lăng vua Minh Mạng,306,301,607,6.4101748820,train,False,observed_complete
2023-08-01,7,Lăng vua Minh Mạng,282,157,439,6.0867747269,train,False,observed_complete
2023-08-02,7,Lăng vua Minh Mạng,300,196,496,6.2085900261,train,False,observed_complete
2023-08-03,7,Lăng vua Minh Mạng,361,225,586,6.3750248198,train,False,observed_complete
2023-08-04,7,Lăng vua Minh Mạng,361,333,694,6.5439118456,train,False,observed_complete
2023-08-05,7,Lăng vua Minh Mạng,496,250,746,6.6160651851,train,False,observed_complete
2023-08-06,7,Lăng vua Minh Mạng,412,276,688,6.5352412710,train,False,observed_complete
2023-08-07,7,Lăng vua Minh Mạng,334,275,609,6.4134589572,train,False,observed_complete
2023-08-08,7,Lăng vua Minh Mạng,319,246,565,6.3385940782,train,False,observed_complete
2023-08-09,7,Lăng vua Minh Mạng,258,308,566,6.3403593037,train,False,observed_complete
2023-08-10,7,Lăng vua Minh Mạng,450,310,760,6.6346333579,train,False,observed_complete
