destination,horizon,seed,model,MAE,rank
Lăng vua Minh Mạng,1,256,RF,135.6166829751243,1.0
Lăng vua Minh Mạng,1,256,SARIMAX,151.59006328275962,5.0
Lăng vua Minh Mạng,1,256,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,256,TFT,145.99971151615375,3.0
Lăng vua Minh Mạng,1,512,ARIMAX,155.18397062848624,6.0
Lăng vua Minh Mạng,1,512,DLM,147.52253950626368,3.0
Lăng vua Minh Mạng,1,512,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,512,LSTM,152.05401069920424,5.0
Lăng vua Minh Mạng,1,512,RF,135.14074431956428,1.0
Lăng vua Minh Mạng,1,512,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,512,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,512,TFT,165.59133287292818,7.0
Lăng vua Minh Mạng,1,2024,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,2024,DLM,138.771333558582,3.0
Lăng vua Minh Mạng,1,2024,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,2024,LSTM,159.26303320437805,6.0
Lăng vua Minh Mạng,1,2024,RF,134.23973366889817,1.0
Lăng vua Minh Mạng,1,2024,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,2024,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,2024,TFT,167.7119938128561,7.0
Lăng vua Minh Mạng,1,2025,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,2025,DLM,140.6895047539019,3.0
Lăng vua Minh Mạng,1,2025,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,2025,LSTM,157.01966683714252,6.0
Lăng vua Minh Mạng,1,2025,RF,135.3586329468137,1.0
Lăng vua Minh Mạng,1,2025,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,2025,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,2025,TFT,163.89268974177745,7.0
Lăng vua Minh Mạng,7,1,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,1,DLM,204.56810888679868,2.0
Lăng vua Minh Mạng,7,1,ETS,214.83948684728028,6.0
Lăng vua Minh Mạng,7,1,LSTM,209.24831971349968,4.0
Lăng vua Minh Mạng,7,1,RF,177.48248747753482,1.0
Lăng vua Minh Mạng,7,1,SARIMAX,209.93114444542715,5.0
Lăng vua Minh Mạng,7,1,SeasonalNaive7,217.0686274509804,7.0
Lăng vua Minh Mạng,7,1,TFT,207.0846963956211,3.0
Lăng vua Minh Mạng,7,7,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,7,DLM,196.78766698354872,3.0
Lăng vua Minh Mạng,7,7,ETS,214.83948684728028,6.0
Lăng vua Minh Mạng,7,7,LSTM,206.53699290493964,4.0
Lăng vua Minh Mạng,7,7,RF,175.02091724823663,2.0
Lăng vua Minh Mạng,7,7,SARIMAX,209.93114444542715,5.0
Lăng vua Minh Mạng,7,7,SeasonalNaive7,217.0686274509804,7.0
Lăng vua Minh Mạng,7,7,TFT,161.62040128760574,1.0
Lăng vua Minh Mạng,7,42,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,42,DLM,210.7307272025213,5.0
Lăng vua Minh Mạng,7,42,ETS,214.83948684728028,6.0
Lăng vua Minh Mạng,7,42,LSTM,208.0532958187142,3.0
Lăng vua Minh Mạng,7,42,RF,174.33336865505595,2.0
Lăng vua Minh Mạng,7,42,SARIMAX,209.93114444542715,4.0
Lăng vua Minh Mạng,7,42,SeasonalNaive7,217.0686274509804,7.0
Lăng vua Minh Mạng,7,42,TFT,154.792076490202,1.0
