mean,std,ci_lo,ci_hi,n,metric,destination,model,horizon,site
12.526023065256194,0.41853932396802523,12.226618069427976,12.825428061084411,10.0,MAPE,Đại Nội,DLM,1,Imperial City (Dai Noi)
1201.9296912319728,63.16892126041761,1156.7413671644995,1247.1180152994461,10.0,MAE,Đại Nội,DLM,7,Imperial City (Dai Noi)
1760.305839821693,70.68556941454146,1709.7404295872827,1810.8712500561035,10.0,RMSE,Đại Nội,DLM,7,Imperial City (Dai Noi)
23.48392341441219,1.4445428805459932,22.45055968881732,24.517287140007056,10.0,MAPE,Đại Nội,DLM,7,Imperial City (Dai Noi)
1747.0491009144748,255.64055635559635,1564.1748634747976,1929.923338354152,10.0,MAE,Đại Nội,DLM,30,Imperial City (Dai Noi)
2320.999466595081,251.03498789360467,2141.4198543606913,2500.5790788294703,10.0,RMSE,Đại Nội,DLM,30,Imperial City (Dai Noi)
32.5365492569151,5.362268914958772,28.70061315683274,36.37248535699746,10.0,MAPE,Đại Nội,DLM,30,Imperial City (Dai Noi)
630.1482408819941,1.198364490607514e-13,630.148240881994,630.1482408819942,10.0,MAE,Đại Nội,ETS,1,Imperial City (Dai Noi)
1055.9202132938267,2.396728981215028e-13,1055.9202132938265,1055.920213293827,10.0,RMSE,Đại Nội,ETS,1,Imperial City (Dai Noi)
11.984329787939398,1.8724445165742407e-15,11.984329787939396,11.9843297879394,10.0,MAPE,Đại Nội,ETS,1,Imperial City (Dai Noi)
1201.25244079117,2.396728981215028e-13,1201.2524407911699,1201.2524407911703,10.0,MAE,Đại Nội,ETS,7,Imperial City (Dai Noi)
1962.988461298278,2.396728981215028e-13,1962.9884612982778,1962.9884612982783,10.0,RMSE,Đại Nội,ETS,7,Imperial City (Dai Noi)
23.89670446813657,3.744889033148481e-15,23.896704468136566,23.896704468136573,10.0,MAPE,Đại Nội,ETS,7,Imperial City (Dai Noi)
1973.3636846075592,2.396728981215028e-13,1973.363684607559,1973.3636846075594,10.0,MAE,Đại Nội,ETS,30,Imperial City (Dai Noi)
2486.114067262278,4.793457962430056e-13,2486.1140672622773,2486.1140672622782,10.0,RMSE,Đại Nội,ETS,30,Imperial City (Dai Noi)
39.987703107160655,0.0,39.987703107160655,39.987703107160655,10.0,MAPE,Đại Nội,ETS,30,Imperial City (Dai Noi)
729.1546886172844,23.463563082431893,712.3698667271736,745.9395105073951,10.0,MAE,Đại Nội,LSTM,1,Imperial City (Dai Noi)
1122.850828148526,49.02761400596972,1087.7785858852249,1157.9230704118272,10.0,RMSE,Đại Nội,LSTM,1,Imperial City (Dai Noi)
13.721143308902327,0.2001215015795332,13.577985010710652,13.864301607094003,10.0,MAPE,Đại Nội,LSTM,1,Imperial City (Dai Noi)
1201.9828291998317,64.76554937488683,1155.6523461843776,1248.3133122152858,10.0,MAE,Đại Nội,LSTM,7,Imperial City (Dai Noi)
1757.355975560279,70.19500729714797,1707.1414923243622,1807.5704587961957,10.0,RMSE,Đại Nội,LSTM,7,Imperial City (Dai Noi)
23.058456714008777,1.8914930597140316,21.705364091113328,24.411549336904226,10.0,MAPE,Đại Nội,LSTM,7,Imperial City (Dai Noi)
1697.3007538143552,206.9231514495257,1549.2768484160658,1845.3246592126445,10.0,MAE,Đại Nội,LSTM,30,Imperial City (Dai Noi)
2158.2102261681443,266.4445357611466,1967.6072874485508,2348.813164887738,10.0,RMSE,Đại Nội,LSTM,30,Imperial City (Dai Noi)
33.16553812341925,4.984877094297354,29.59957186851055,36.731504378327955,10.0,MAPE,Đại Nội,LSTM,30,Imperial City (Dai Noi)
578.5586153546882,5.073749079879241,574.9290739111445,582.1881567982318,10.0,MAE,Đại Nội,RF,1,Imperial City (Dai Noi)
919.7238734477575,10.507220153917931,912.2074609479124,927.2402859476025,10.0,RMSE,Đại Nội,RF,1,Imperial City (Dai Noi)
10.663989323962037,0.09933155090687835,10.59293181303827,10.735046834885804,10.0,MAPE,Đại Nội,RF,1,Imperial City (Dai Noi)
1011.1603467627285,9.921117368454762,1004.0632069380836,1018.2574865873735,10.0,MAE,Đại Nội,RF,7,Imperial City (Dai Noi)
1668.1123648708635,17.833145053464506,1655.355301401376,1680.869428340351,10.0,RMSE,Đại Nội,RF,7,Imperial City (Dai Noi)
17.665967991360855,0.19205777559580303,17.528578135239638,17.803357847482072,10.0,MAPE,Đại Nội,RF,7,Imperial City (Dai Noi)
1494.0566022409512,35.9776990182304,1468.3197067866902,1519.7934976952122,10.0,MAE,Đại Nội,RF,30,Imperial City (Dai Noi)
1926.0310629155774,41.11892319086067,1896.616357244191,1955.4457685869638,10.0,RMSE,Đại Nội,RF,30,Imperial City (Dai Noi)
27.106030447191603,0.7465284450543687,26.571996168505223,27.640064725877984,10.0,MAPE,Đại Nội,RF,30,Imperial City (Dai Noi)
731.9181410325546,0.0,731.9181410325546,731.9181410325546,10.0,MAE,Đại Nội,SARIMAX,1,Imperial City (Dai Noi)
1113.5625350311561,2.396728981215028e-13,1113.562535031156,1113.5625350311564,10.0,RMSE,Đại Nội,SARIMAX,1,Imperial City (Dai Noi)
