MAE,RMSE,MSE,MAPE,R2,destination,model,horizon,seed
332.1467001899171,454.713218494937,206764.11107402432,19.412253688253628,0.5306942253635372,Lăng vua Khải Định,TFT,1,99
328.3730758751295,467.5596372833387,218612.01441652726,19.016941991764583,0.503802278656303,Lăng vua Khải Định,TFT,1,123
276.1831095152797,392.6464433869627,154171.2295044313,16.782429106821013,0.6500676644829839,Lăng vua Khải Định,TFT,1,256
273.7971117219872,352.78906383975703,124460.12356493215,16.95646039539099,0.7175048687241528,Lăng vua Khải Định,TFT,1,512
320.56971766013464,420.500968605305,176821.06459799968,20.0458567921385,0.5986578799282085,Lăng vua Khải Định,TFT,1,2024
310.46084240655216,429.5796044209035,184538.63653441993,18.905629674529745,0.5811408115302135,Lăng vua Khải Định,TFT,1,2025
354.7995126629403,502.9232180702694,252931.76327415573,17.897829266300196,0.418309780939792,Lăng vua Khải Định,TFT,7,1
303.6534427200233,403.0435858062984,162444.132059599,17.21948269402841,0.6264124302159222,Lăng vua Khải Định,TFT,7,7
404.4207837858253,526.5633338483162,277268.9445534533,23.8186616310627,0.3623393479407623,Lăng vua Khải Định,TFT,7,42
345.13303438471166,448.86371996329666,201478.6390992888,20.768373516345264,0.5366412181826866,Lăng vua Khải Định,TFT,7,77
312.1014121039796,423.5283228122415,179376.24022415024,18.299491810215084,0.5874721184895803,Lăng vua Khải Định,TFT,7,99
295.34462809694406,376.8230520201309,141995.61253376625,17.47535312718563,0.6734397535084332,Lăng vua Khải Định,TFT,7,123
272.7252851454593,353.5307457475013,124983.98818878442,17.00645269910269,0.7125629358391419,Lăng vua Khải Định,TFT,7,256
276.94944265797653,354.7073795920556,125817.32513706262,16.84141557242435,0.7106464349389783,Lăng vua Khải Định,TFT,7,512
348.63971318197514,437.1118176573655,191066.74113572598,21.568533916243428,0.5605864084935321,Lăng vua Khải Định,TFT,7,2024
331.52294719548513,425.06832338468547,180683.07954506757,20.96966810224746,0.584466661045167,Lăng vua Khải Định,TFT,7,2025
342.2392348821651,434.01709632291573,188370.8399005751,18.008957714182287,0.5021265770360023,Lăng vua Khải Định,TFT,30,1
427.6993637506474,524.2060111546014,274791.94213061803,22.19284343799614,0.2737113403342749,Lăng vua Khải Định,TFT,30,7
425.14955097008806,527.1325979947482,277868.7758686927,23.82952548026474,0.2655791169717052,Lăng vua Khải Định,TFT,30,42
396.4056605555076,528.7835315012733,279612.0231869581,23.464396171125156,0.2609716283079836,Lăng vua Khải Định,TFT,30,77
296.1272289634409,391.2348449365908,153064.70389255823,15.93497688122009,0.5954424363018087,Lăng vua Khải Định,TFT,30,99
274.8603090739382,347.27146225214767,120597.46849474484,15.329127236571516,0.6812549412002268,Lăng vua Khải Định,TFT,30,123
332.514133853807,415.61491907057655,172735.7609540419,20.668357575881654,0.5434508620343146,Lăng vua Khải Định,TFT,30,256
311.4594767027797,384.4041339390318,147766.5381894171,18.802658111649,0.6094457496354734,Lăng vua Khải Định,TFT,30,512
342.3233231180939,415.2345922034638,172419.7665623769,20.537389730501694,0.5442860508007856,Lăng vua Khải Định,TFT,30,2024
373.308997728548,467.4668565610661,218525.26198308435,22.560391492312444,0.42242695183050794,Lăng vua Khải Định,TFT,30,2025
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,1
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,7
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,42
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,77
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,99
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,123
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,256
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,512
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,2024
155.18397062848624,249.24254226590452,62121.844875171206,18.438095236804365,0.4316671692565214,Lăng vua Minh Mạng,ARIMAX,1,2025
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,1
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,7
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,42
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,77
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,99
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,123
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,256
